replay_path,beatmap_hash,accuracy
/home/amine/PycharmProjects/osunator/replays/suitable/87548aabcc228247650d55eabc6f0280.osr,f80d731fdc843563df0865548147d942,100.0
/home/amine/PycharmProjects/osunator/replays/suitable/f4b22038f20c1931177c4095fe6bede9.osr,06b536749d5a59536983854be90504ee,100.0
/home/amine/PycharmProjects/osunator/replays/suitable/8599cd2a67a3fa5edc3be79244a0a5f1.osr,7e266a17fe737d34e731425c6af72416,100.0
/home/amine/PycharmProjects/osunator/replays/suitable/11d8de284a444146d833ed7bc5f01463.osr,77fd464eeec12fbb8828e9aa0af683d6,100.0
/home/amine/PycharmProjects/osunator/replays/suitable/85784e5c869fc43041a792e438633f34.osr,6e9de6826b2410197ab20eddeaf7ec8a,100.0
/home/amine/PycharmProjects/osunator/replays/suitable/a558621d448580be63736001c25f7643.osr,a5fd70d8daeb64efd2e877249b1ebf2f,100.0
/home/amine/PycharmProjects/osunator/replays/suitable/8540e3082755fd706dccabc877602afc.osr,ec73e4aa2245bc229d798c611f1bb975,100.0
/home/amine/PycharmProjects/osunator/replays/suitable/851cb607e92461ddeeea28ada028dc44.osr,1ce04e6192f1fb8c1ba8f928d18681fb,100.0
/home/amine/PycharmProjects/osunator/replays/suitable/4d0cdf284f1389025bb013b9a15e8188.osr,1b203dd3c97fd1d5af0f0edb776d075c,100.0
/home/amine/PycharmProjects/osunator/replays/suitable/00ec6cc41b990b14415c20947252beaf.osr,1ce04e6192f1fb8c1ba8f928d18681fb,100.0
/home/amine/PycharmProjects/osunator/replays/suitable/98faf4bd520850756605dbfbefdc11cc.osr,d7049ea6c1ee975e897bf3bb50dec777,100.0
/home/amine/PycharmProjects/osunator/replays/suitable/4cbc9f0fcb5994b57c9fcb49c4b9f3fc.osr,2a8cfd211503b300f2089469b549201c,100.0
/home/amine/PycharmProjects/osunator/replays/suitable/4cceba6ec1fb0bf59f1f5254ff568f90.osr,f507e3ca1f86aa456ddf0b16b2733176,100.0
/home/amine/PycharmProjects/osunator/replays/suitable/483dc780080859073b92213d7656eaa7.osr,ba25ba7644368b2986cbe5c88275aff8,100.0
/home/amine/PycharmProjects/osunator/replays/suitable/4840f539756e961f96526bac2dd91a61.osr,b30959a30f75b5ca1a6b83461741365f,100.0
/home/amine/PycharmProjects/osunator/replays/suitable/ce566c3339fd760fefddc2491eb3d94d.osr,d208c713e3ce9ba6ca47312e45754b8e,100.0
/home/amine/PycharmProjects/osunator/replays/suitable/4c95eba4b9ca94e752b36115ff1fe2d3.osr,adfcd669ab16629042c7681ff059edb2,100.0
/home/amine/PycharmProjects/osunator/replays/suitable/cc0633e2cfaf871b7df706086eff5c06.osr,128325177580fa132003dd2dce5baae9,100.0
/home/amine/PycharmProjects/osunator/replays/suitable/4c53b6a73f29ceb63f76ec274721f855.osr,a1f936c17afe6169d96b23b28dd61a10,100.0
/home/amine/PycharmProjects/osunator/replays/suitable/cc2175f88daa9ed55e3d56c5f5035528.osr,737a56582c96bb0dbc0042a6db69e23b,100.0
/home/amine/PycharmProjects/osunator/replays/suitable/0fe54021ca440a7939deba9e2a7caf1b.osr,e56097eedd92d9269bead33ba9c82aa8,100.0
